Energy(eV),Yield(Atoms/Ion)
263.1682321240825,1.3628679593557755E-05
263.1682321240825,1.7869024337358322E-05
263.1682321240825,2.4353120734334174E-05
275.2255295178321,3.3190087959146774E-05
281.45977905581236,4.7937156455582185E-05
294.3551206898103,6.92366640267872E-05
314.81431692803267,9.620403271064779E-05
321.94530878513297,0.00013111339374215656
352.1215517021004,0.00017869024337358323
360.0976054673797,0.000248289288056033
411.89449936288844,0.0003874675120456132
430.76582905790235,0.0005489032450921563
492.72772939479376,0.0007927927389450606
563.6023076517386,0.0011015819387359006
644.6715746656332,0.0015605486450070765
788.6551788396241,0.002297970969046965
1008.9997313018644,0.0030718143012686996
1290.9069579244708,0.004027559979850302
1688.987592263541,0.0049828635146473114
2259.88116800139,0.0061647570563371735
3233.9077450533305,0.0067909850299557204
4425.011430509787,0.00705894008661876
6191.969290609284,0.00705894008661876
8664.49370763126,0.0067909850299557204
12398.958717309575,0.0061647570563371735
17743.00755024439,0.005383843622033495
24278.06153145486,0.00443668733097862
37156.85181946408,0.003656160144085201
47538.20745465057,0.002955209235202891
62197.69911105609,0.002388643078984603
89005.39715441233,0.0017869024337358304
121787.61140845183,0.0014166432746690236
166644.0774017808,0.0010804718223181296
222971.33146759577,0.0008082822192522723
278949.3102170182,0.0006533201459593777
348980.8181096098,0.000498286351464731
446483.53443920624,0.00041062499172443023
546203.0055920031,0.000319302030769103
668194.2340661188,0.00026312860738959473
894050.1239025776,0.0001893698888950362
