Energy(eV),Yield(Atoms/Ion)
524.1517179550403,1.4142414447205932E-05
533.3330432299321,1.8549175375515537E-05
533.3330432299321,2.4698476044384935E-05
561.853287182532,3.288635244239819E-05
571.6950135561779,4.378861979265734E-05
602.2666825350263,5.830513513787785E-05
623.5507341273906,7.532919922954818E-05
656.89541299153,9.302215308275378E-05
704.1450680813682,0.00012018296991785944
729.0294928588943,0.00016996773700744513
795.1562716018208,0.00021631096462701568
867.2810941958525,0.0002837132254532508
962.5177520852345,0.0003952379506292857
1086.9237914057512,0.0005262646375285521
1248.9093588633154,0.0006799245664058188
1435.0358313889433,0.0008653120964151313
1707.1729720791272,0.0010685523690727528
2102.690071011445,0.0013395636396462528
2545.2563134600346,0.0015574294295349048
2975.8074489229584,0.0017306924347734916
3602.1441302422604,0.0018382217726484373
4360.309784067184,0.0020427227423772424
5370.504476957695,0.0021696387787200405
6730.6080196165485,0.0021696387787200405
8289.952386887804,0.0021696387787200405
10756.579915628015,0.002105224566651977
13480.73041450747,0.001952431996318862
16894.783837806586,0.0018107287747986043
16894.783837806586,0.0018107287747986043
20450.733952928676,0.0017048076780504808
25629.970990844464,0.001511191046197064
32683.518852499907,0.0013599027543591134
38881.55180308085,0.001187428121135333
49582.027690331466,0.0010213210984727358
64334.87411501928,0.0008146944624782618
83477.34492114146,0.0006799245664058188
104618.34443918231,0.0005848112341959988
128856.27742220828,0.0004735792551827713
150653.3814161235,0.0004073311693635085
192114.24911349415,0.0003399488783446198
244985.4385312306,0.00026711702594496225
291443.95565974806,0.00022975054195115046
352785.97563639825,0.0001860516422613696
427039.0316518572,0.00015295193436347854
525975.25058936,0.0001257408638869471
604361.9784437196,0.00010653367554804184
718971.897693158,9.026042668181127E-05
826121.149328585,7.532919922954818E-05
949238.9835509934,6.778784573513833E-05
